Zip Code,Households With Computer,Households With Broadband Internet
00601,,
00602,,
00603,,
00606,,
00610,,
00611,,
00612,,
00616,,
00617,,
00622,,
00623,,
00624,,
00627,,
00631,,
00636,,
00637,,
00638,,
00641,,
00646,,
00647,,
00650,,
00652,,
00653,,
00656,,
00659,,
00660,,
00662,,
00664,,
00667,,
00669,,
00670,,
00674,,
00676,,
00677,,
00678,,
00680,,
00682,,
00683,,
00685,,
00687,,
00688,,
00690,,
00692,,
00693,,
00694,,
00698,,
00703,,
00704,,
00705,,
00707,,
00714,,
00715,,
00716,,
00717,,
00718,,
00719,,
00720,,
00723,,
00725,,
00727,,
00728,,
00729,,
00730,,
00731,,
00735,,
00736,,
00738,,
00739,,
00740,,
00741,,
00745,,
00751,,
00754,,
00757,,
00765,,
00766,,
00767,,
00769,,
00771,,
00772,,
00773,,
00775,,
00777,,
00778,,
00780,,
00782,,
00783,,
00784,,
00786,,
00791,,
00794,,
00795,,
00901,,
00906,,
00907,,
00909,,
00911,,
00912,,
00913,,
00915,,
00917,,
00918,,
00920,,
00921,,
00923,,
00924,,
00925,,
00926,,
00927,,
00934,,
00949,,
00950,,
00951,,
00952,,
00953,,
00956,,
00957,,
00959,,
00960,,
00961,,
00962,,
00965,,
00966,,
00968,,
00969,,
00971,,
00976,,
00979,,
00982,,
00983,,
00985,,
00987,,
01001,6102,5781
01002,9681,9273
01003,15,10
01005,1638,1617
01007,5727,5580
01008,476,392
01009,284,284
01010,1376,1352
01011,448,372
01012,185,164
01013,8439,8061
01020,12076,11706
01022,865,834
01026,413,379
01027,7984,7643
01028,5333,5242
01029,220,182
01030,4727,4531
01031,567,550
01032,194,167
01033,2273,2236
01034,794,725
01035,2103,2092
01036,1950,1910
01037,257,225
01038,993,980
01039,688,670
01040,13133,12214
01050,1036,970
01053,661,604
01054,690,662
01056,7579,7426
01057,3207,3129
01060,6617,6227
01062,3860,3571
01063,5,5
01066,8,8
01068,595,572
01069,3490,3368
01070,247,217
01071,497,419
01072,579,537
01073,2291,2266
01074,128,128
01075,6846,6410
01077,3287,3097
01079,237,237
01080,834,791
01081,690,681
01082,4381,4224
01083,818,722
01084,40,35
01085,14473,13742
01088,312,194
01089,11730,11278
01092,501,420
01093,70,67
01094,15,10
01095,5019,4702
01096,1015,871
01097,26,26
01098,478,432
01103,1149,932
01104,7743,6867
01105,4295,3554
01106,5785,5564
01107,3505,3273
01108,8198,8096
01109,7699,7202
01118,5451,5266
01119,4579,4056
01128,1034,978
01129,2298,2169
01144,,
01151,3169,2966
01201,18144,17119
01220,3512,3166
01222,258,247
01223,1143,1038
01224,66,66
01225,1371,1292
01226,2669,2485
01229,63,51
01230,3439,3255
01235,988,944
01236,696,680
01237,969,891
01238,2198,2146
01240,1997,1743
01242,93,93
01243,73,63
01244,59,42
01245,345,326
01247,5901,5489
01253,391,366
01254,416,409
01255,280,253
01256,304,297
01257,889,853
01258,69,67
01259,266,244
01260,81,81
01262,593,572
01264,90,68
01266,405,409
01267,2410,2347
01270,352,344
01301,7544,7123
01330,641,599
01331,5008,4867
01337,941,921
01338,57,57
01339,552,509
01340,712,639
01341,716,677
01342,305,305
01343,51,49
01344,620,594
01346,161,150
01347,96,96
01349,308,266
01350,47,38
01351,938,973
01354,581,549
01355,389,372
01360,1096,1034
01364,2696,2638
01366,423,390
01367,160,143
01368,481,392
01370,1625,1537
01373,2089,1936
01375,1666,1526
01376,1911,1811
01378,290,275
01379,322,267
01380,14,9
01420,15117,14240
01430,2114,2044
01431,1254,1232
01432,3263,3168
01434,315,315
01436,1154,1004
01438,124,124
01440,7943,7604
01450,3676,3652
01451,1661,1618
01452,1482,1442
01453,16983,16159
01460,3405,3364
01462,4223,4168
01463,4145,4119
01464,2179,2164
01468,1558,1542
01469,2703,2623
01473,2998,2873
01474,658,614
01475,3404,3219
01501,6013,5854
01503,1178,1151
01504,3520,3618
01505,1760,1783
01506,1306,1192
01507,4601,4431
01510,6089,5882
01515,818,732
01516,2933,2920
01518,1127,1135
01519,2625,2517
01520,5770,5604
01521,1059,991
01522,1136,1092
01523,2662,2586
01524,2043,1936
01525,31,31
01527,4918,4798
01529,1200,1087
01531,395,365
01532,5582,5549
01534,2201,2088
01535,1745,1603
01536,2673,2663
01537,707,570
01540,3830,3692
01541,1266,1232
01542,885,911
01543,2959,2933
01545,13292,12971
01550,6262,6048
01560,1856,1827
01561,17,17
01562,4633,4446
01564,3206,3162
01566,2515,2459
01568,2578,2421
01569,5041,5000
01570,6673,6310
01571,3811,3795
01581,7686,7534
01583,2570,2513
01585,1798,1766
01588,3825,3496
01590,3205,3038
01602,9904,9375
01603,6807,6498
01604,15697,14961
01605,10167,9555
01606,8598,8120
01607,3500,3384
01608,1803,1715
01609,7454,6975
01610,7848,7188
01611,770,653
01612,1505,1442
01701,12600,12510
01702,13936,13571
01718,228,228
01719,2139,2128
01720,8399,8229
01721,7343,7157
01730,5319,5294
01731,478,473
01740,1798,1803
01741,1771,1739
01742,6143,6089
01745,199,199
01746,5088,4953
01747,1946,1883
01748,6346,6020
01749,7667,7399
01752,16340,16045
01754,4208,4144
01756,1996,1962
01757,10702,10131
01760,14520,14040
01770,1447,1424
01772,3269,3249
01773,2028,1943
01775,2574,2574
01776,6084,6067
01778,4709,4707
01801,15178,14904
01803,9610,9555
01810,12944,12748
01821,11203,11187
01824,9552,9465
01826,11448,10983
01827,1110,1120
01830,10004,9274
01832,9461,8659
01833,3005,2923
01834,2450,2394
01835,5304,5077
01840,2508,1986
01841,15232,12999
01843,9196,8370
01844,17637,17077
01845,10548,10415
01850,5261,4942
01851,10031,9335
01852,12790,12013
01854,8933,8500
01860,2389,2319
01862,3875,3765
01863,3595,3481
01864,5796,5708
01867,8936,8813
01876,11171,11037
01879,4006,3945
01880,10320,10134
01886,8278,8059
01887,7553,7377
01890,7777,7618
01901,1027,880
01902,16268,14908
01904,6498,6370
01905,8640,8290
01906,9769,9407
01907,5940,5819
01908,1633,1598
01913,6974,6583
01915,14937,14505
01921,2905,2868
01922,1170,1170
01923,10198,10009
01929,1319,1270
01930,12100,11750
01937,,
01938,5265,5053
01940,4357,4290
01944,2076,2057
01945,7869,7823
01949,2928,3002
01950,7208,7021
01951,1313,1252
01952,3658,3535
01960,20459,19736
01965,354,336
01966,3083,2930
01969,2227,2125
01970,18075,17406
01982,2506,2451
01983,2077,2075
01984,1209,1168
01985,1584,1555
02019,5990,5924
02021,8859,8530
02025,3018,2948
02026,9817,9489
02030,1906,1877
02032,1480,1514
02035,6970,6966
02038,11852,11547
02043,8597,8410
02045,4183,4096
02047,89,89
02048,8470,8210
02050,9911,9629
02052,4259,4226
02053,4605,4479
02054,3002,2943
02056,2931,2900
02061,3477,3424
02062,12151,11977
02066,7060,6894
02067,6095,6057
02071,383,383
02072,10559,10288
02081,6944,6818
02090,5278,5118
02093,4358,4213
02108,1827,1817
02109,1944,1926
02110,1282,1255
02111,3243,3282
02113,3863,3783
02114,7184,7050
02115,8652,8002
02116,11198,10910
02118,12944,12334
02119,10402,8993
02120,4296,3912
02121,9497,8151
02122,8472,7873
02124,17925,17137
02125,11967,11026
02126,8117,7422
02127,15780,15168
02128,15805,15025
02129,8912,8572
02130,16828,15835
02131,11530,11053
02132,10158,9946
02133,,
02134,7909,7319
02135,18870,18026
02136,12926,12250
02138,13996,12711
02139,14533,14080
02140,9030,8662
02141,6431,6204
02142,2057,2031
02143,11049,10669
02144,10699,10388
02145,10679,10417
02148,24180,22758
02149,15777,15464
02150,11987,10987
02151,19811,18799
02152,7552,7149
02155,23532,22939
02163,403,186
02169,26036,25253
02170,7346,7216
02171,8291,8054
02176,11209,11096
02180,9281,8968
02184,13653,13221
02186,8557,8192
02188,6580,6132
02189,6063,5541
02190,7322,6910
02191,3374,3098
02199,833,788
02203,,
02205,,
02210,2982,2994
02215,7708,7312
02301,20748,19209
02302,11196,10664
02322,1570,1479
02324,8413,8204
02325,30,30
02330,4476,4239
02332,5946,5912
02333,4829,4569
02338,2655,2589
02339,4467,4384
02341,3484,3409
02343,4400,3995
02346,9290,8816
02347,4037,3966
02350,70,70
02351,5878,5448
02356,4279,4175
02357,,
02359,6649,6403
02360,23997,23416
02364,4950,4639
02366,,
02367,931,893
02368,11606,11198
02370,6148,5713
02375,4265,4266
02379,2644,2482
02382,5382,4767
02420,5260,5240
02421,6688,6655
02445,9039,8851
02446,13738,13321
02451,7063,7072
02452,5064,4864
02453,11586,10898
02457,18,
02458,4689,4658
02459,6206,6162
02460,3569,3488
02461,2475,2470
02462,480,490
02464,1363,1354
02465,4297,4265
02466,2776,2705
02467,6521,6411
02468,1859,1846
02472,15262,15052
02474,11287,11158
02476,7323,7115
02478,9935,9802
02481,4651,4505
02482,3661,3598
02492,6910,6844
02493,3605,3590
02494,3986,3854
02532,5442,5253
02534,379,379
02535,738,701
02536,7940,7569
02537,2374,2423
02538,1725,1639
02539,1301,1170
02540,3909,3711
02542,244,215
02543,485,462
02553,30,30
02554,3868,3621
02556,1003,1003
02557,658,600
02558,914,803
02559,1347,1323
02561,280,280
02562,1216,1196
02563,3855,3604
02564,33,33
02568,2849,2599
02571,4497,4052
02575,898,813
02576,1605,1566
02584,25,25
02601,6474,6035
02630,744,744
02631,4273,4031
02632,4558,4471
02633,2083,1990
02635,1278,1207
02637,89,89
02638,1406,1364
02639,1611,1460
02641,66,66
02642,2431,2230
02643,,
02644,1447,1432
02645,4282,4125
02646,867,850
02647,67,67
02648,3014,3000
02649,6368,6116
02650,321,321
02652,618,589
02653,2881,2851
02655,1494,1434
02657,1869,1665
02659,538,549
02660,2697,2510
02663,168,168
02664,3774,3500
02666,251,235
02667,1496,1430
02668,968,955
02670,772,738
02671,422,394
02672,88,88
02673,3602,3497
02675,2942,2852
02702,1612,1564
02703,16575,15799
02713,15,12
02715,1231,1183
02717,1638,1596
02718,2302,2178
02719,6139,5942
02720,12489,11352
02721,9215,8091
02723,6423,5598
02724,6876,6022
02725,919,892
02726,5889,5496
02738,1857,1867
02739,2854,2766
02740,16772,15529
02743,3703,3606
02744,4387,3946
02745,9028,8669
02746,5488,5188
02747,6570,6359
02748,4334,4262
02760,11121,10680
02762,4083,3881
02763,606,575
02764,1499,1502
02766,6213,5913
02767,5258,5006
02769,4297,4102
02770,1953,1940
02771,5660,5458
02777,6352,5959
02779,2184,2094
02780,18547,17168
02790,6256,5907
02791,212,164
02802,238,182
02804,806,753
02806,5951,5831
02807,414,408
02808,843,792
02809,7215,6960
02812,418,418
02813,3364,3200
02814,2816,2653
02815,72,72
02816,12554,12318
02817,2269,2284
02818,7813,7668
02822,1887,1933
02823,13,13
02824,42,42
02825,1744,1655
02826,282,282
02827,779,731
02828,2723,2793
02829,35,35
02830,2153,2143
02831,1417,1312
02832,1762,1762
02833,336,336
02835,2335,2335
02836,53,53
02837,1550,1525
02838,1160,1160
02839,577,565
02840,9493,9028
02841,6,6
02842,6837,6432
02852,9124,9027
02857,3026,2989
02858,202,202
02859,2354,2232
02860,17034,15793
02861,10088,9589
02863,6352,5648
02864,12218,11954
02865,6201,6060
02871,6957,6682
02872,39,39
02873,58,58
02874,2386,2294
02875,138,138
02876,493,473
02878,6092,5912
02879,8695,8336
02881,773,746
02882,5262,5004
02885,4387,4228
02886,11866,11348
02888,7523,7219
02889,10664,10270
02891,9259,9075
02892,2091,2043
02893,12709,12060
02894,212,175
02895,15647,14385
02896,4143,4021
02898,561,561
02903,4400,4070
02904,11427,10977
02905,8832,7884
02906,11891,11499
02907,9424,8498
02908,12910,12681
02909,13167,12738
02910,8170,7950
02911,6201,6124
02912,13,13
02914,8088,7290
02915,6575,6325
02916,3546,3306
02917,4224,4239
02918,36,36
02919,10507,10201
02920,12646,12141
02921,4414,4237
03031,4370,4322
03032,1953,1954
03033,1701,1701
03034,1542,1511
03036,1702,1625
03037,1544,1511
03038,12504,12286
03042,2593,2510
03043,549,464
03044,1604,1580
03045,5022,4677
03046,1006,993
03047,625,562
03048,1334,1244
03049,3094,3067
03051,9327,9098
03052,2929,2851
03053,8995,8680
03054,9634,9359
03055,6124,5969
03057,893,888
03060,11324,10807
03062,11069,10881
03063,6532,6442
03064,6076,5836
03070,1967,1922
03071,1803,1691
03076,4685,4504
03077,3941,3762
03079,11418,11195
03082,604,563
03084,468,460
03086,1607,1467
03087,5140,5131
03101,1636,1555
03102,13181,12492
03103,13658,13212
03104,14179,13095
03106,4989,4850
03109,3586,3519
03110,7887,7684
03215,99,88
03216,793,755
03217,900,838
03218,557,532
03220,2796,2601
03221,811,761
03222,2097,1984
03223,1031,935
03224,863,861
03225,1248,1206
03226,355,307
03227,682,653
03229,2126,1890
03230,563,454
03231,77,63
03233,100,100
03234,1658,1594
03235,3515,3024
03237,742,731
03238,17,12
03240,435,393
03241,361,347
03242,1921,1869
03243,318,301
03244,2735,2573
03245,757,764
03246,6291,5806
03249,2985,2807
03251,522,520
03253,2844,2663
03254,1943,1865
03255,726,683
03256,886,872
03257,1410,1370
03258,973,931
03259,140,124
03260,377,369
03261,1705,1682
03262,442,418
03263,1474,1474
03264,2052,1790
03266,740,666
03268,508,490
03269,995,905
03273,115,115
03275,4111,3986
03276,3290,3104
03278,1112,1056
03279,284,231
03280,442,393
03281,3240,3070
03282,383,346
03284,249,240
03285,1028,904
03287,645,642
03290,1885,1816
03291,29,29
03293,54,54
03301,12365,11780
03303,6033,5693
03304,2722,2617
03307,2292,2256
03431,9035,8651
03440,1038,903
03441,78,78
03442,608,537
03443,180,180
03444,611,574
03445,256,244
03446,2567,2557
03447,960,845
03448,283,264
03449,785,728
03450,412,401
03451,1357,1334
03452,1930,1767
03455,861,786
03456,299,277
03457,280,277
03458,2874,2662
03461,1789,1717
03462,625,625
03464,330,297
03465,673,595
03466,584,520
03467,807,740
03470,1720,1548
03561,2657,2346
03570,3343,3060
03574,967,876
03575,3,3
03576,1183,1040
03579,164,160
03580,487,453
03581,1469,1380
03582,799,770
03583,372,358
03584,1266,1252
03585,932,843
03586,231,211
03588,622,591
03590,364,331
03592,478,449
03593,170,163
03595,381,338
03597,186,164
03598,1367,1315
03601,123,104
03602,926,863
03603,1695,1589
03604,,
03605,257,188
03607,91,82
03608,1039,978
03609,215,198
03740,388,352
03741,1493,1289
03743,4996,4375
03745,636,593
03748,1929,1819
03750,253,222
03751,168,168
03752,282,240
03753,1232,1167
03755,2521,2325
03765,158,158
03766,3815,3644
03768,596,558
03770,147,147
03771,265,252
03773,2682,2548
03774,538,505
03777,524,497
03779,251,235
03780,198,197
03781,764,705
03782,927,930
03784,1620,1554
03785,794,663
03801,10421,10003
03809,1211,1152
03810,809,768
03811,2760,2691
03812,406,358
03813,1499,1398
03814,820,746
03816,522,510
03817,295,228
03818,1468,1416
03819,1547,1540
03820,14125,13558
03823,698,690
03824,2813,2411
03825,3050,2902
03826,1115,1048
03827,1133,1118
03830,634,633
03832,151,122
03833,8494,8169
03835,2652,2335
03836,548,520
03837,681,607
03838,522,522
03839,1480,1391
03840,1549,1510
03841,2495,2415
03842,6864,6665
03844,830,817
03845,675,582
03846,475,422
03847,249,249
03848,2622,2499
03849,445,445
03850,69,59
03851,1449,1346
03852,140,140
03853,353,340
03854,378,356
03855,958,895
03856,622,612
03857,4204,4061
03858,1699,1714
03860,1764,1635
03861,1806,1651
03862,1894,1820
03864,691,641
03865,3042,2940
03867,8651,8314
03868,2408,2349
03869,984,947
03870,2175,2168
03871,201,201
03872,1655,1564
03873,2178,2178
03874,3520,3391
03875,404,389
03878,4852,4452
03882,475,459
03883,164,164
03884,1323,1309
03885,2948,2850
03886,422,421
03887,640,596
03890,19,19
03894,2753,2770
03897,17,17
03901,3076,3001
03902,925,909
03903,2628,2560
03904,3689,3540
03905,787,787
03906,1748,1683
03907,564,551
03908,2760,2520
03909,4273,4112
03910,14,14
03911,77,77
04001,1071,1011
04002,2884,2778
04003,107,107
04005,9360,8884
04006,27,27
04008,1167,1118
04009,2056,1951
04010,558,480
04011,7960,7644
04015,1589,1545
04017,269,262
04019,39,23
04020,661,602
04021,2260,2196
04022,418,382
04024,184,153
04027,2235,2159
04029,784,717
04030,735,735
04032,3292,3271
04037,1392,1247
04038,5795,5290
04039,3192,3111
04040,1296,1189
04041,557,506
04042,1784,1678
04043,4599,4200
04046,3028,2863
04047,650,578
04048,1082,929
04049,1478,1224
04050,99,96
04051,453,453
04055,1633,1513
04056,39,39
04057,116,116
04061,976,889
04062,6840,6473
04063,308,341
04064,4507,4024
04066,346,339
04068,479,411
04069,549,524
04071,2075,1947
04072,8191,7901
04073,6580,6074
04074,8378,7973
04076,1108,1049
04079,1905,1773
04083,1844,1693
04084,2519,2482
04085,992,992
04086,3740,3620
04087,878,837
04088,501,464
04090,4583,4501
04091,310,246
04092,8238,7838
04093,3106,3045
04095,574,551
04096,3265,3226
04097,1437,1448
04101,8906,8181
04102,7359,7097
04103,12235,11901
04105,4640,4533
04106,11139,10629
04107,3743,3679
04108,417,408
04109,60,60
04110,611,611
04210,9249,8660
04216,223,207
04217,1398,1338
04219,493,460
04220,1152,1059
04221,289,261
04222,1603,1535
04224,1017,941
04226,22,22
04227,17,17
04231,78,68
04234,,
04236,1555,1478
04237,97,97
04238,431,408
04239,1729,1648
04240,13702,12706
04250,1750,1636
04252,1850,1776
04253,722,714
04254,1210,1187
04255,242,208
04256,1067,1006
04257,932,780
04258,1036,980
04259,1383,1366
04260,2060,1836
04261,94,91
04263,750,708
04265,303,289
04267,15,15
04268,1700,1581
04270,2208,2088
04271,,
04274,2192,2048
04275,201,173
04276,2030,1844
04280,2819,2563
04281,1769,1689
04282,2214,2193
04284,451,420
04285,167,130
04286,,
04287,1183,1193
04289,633,542
04290,602,537
04292,356,335
04294,1301,1127
04330,11157,10514
04341,,
04342,611,559
04344,1224,1174
04345,4456,4324
04346,732,643
04347,1219,1051
04348,1035,914
04349,552,517
04350,1393,1325
04351,949,934
04352,619,567
04353,818,755
04354,582,544
04355,920,896
04357,1427,1347
04358,1786,1676
04359,88,88
04360,223,218
04363,991,879
04364,2405,2309
04401,17614,16349
04406,313,239
04408,91,87
04410,386,372
04411,552,555
04412,3665,3571
04413,60,52
04414,582,543
04415,107,91
04416,2183,2065
04417,162,132
04418,556,531
04419,1170,1122
04421,254,238
04422,347,311
04424,345,333
04426,1809,1624
04427,994,909
04428,1200,1090
04429,1989,1923
04430,624,549
04431,21,21
04434,400,340
04435,395,332
04438,460,433
04441,656,546
04442,30,30
04443,801,632
04444,3407,3268
04448,499,432
04449,464,402
04450,505,480
04451,100,98
04453,227,205
04454,10,6
04455,236,184
04456,1109,1055
04457,2424,2064
04459,272,259
04460,504,495
04461,1147,1006
04462,2073,1802
04463,1075,980
04464,186,159
04468,3591,3278
04469,,
04471,219,197
04472,839,769
04473,3203,2832
04474,1515,1493
04475,179,160
04476,495,445
04478,186,159
04479,483,421
04481,210,201
04485,54,44
04487,318,283
04488,426,398
04489,111,77
04490,94,83
04491,66,65
04492,32,28
04493,730,678
04495,177,163
04496,1531,1477
04497,130,123
04530,4773,4526
04535,271,248
04537,626,576
04538,782,666
04539,594,536
04541,29,29
04543,866,764
04544,457,408
04547,479,437
04548,446,411
04551,255,239
04553,724,683
04554,319,307
04555,666,603
04556,533,512
04558,94,94
04562,971,932
04563,590,559
04564,197,166
04568,244,230
04570,,
04571,198,198
04572,2391,1970
04573,178,173
04574,618,572
04575,96,96
04576,223,204
04578,1899,1666
04579,1152,1169
04605,5876,5422
04606,467,403
04607,516,478
04609,1980,1858
04611,172,155
04612,219,187
04613,42,42
04614,1067,1045
04616,328,310
04617,304,281
04619,1347,1271
04622,321,292
04623,340,289
04624,99,84
04625,28,22
04626,229,213
04627,724,682
04628,228,198
04630,476,416
04631,521,481
04634,779,690
04635,6,5
04640,988,969
04642,75,57
04643,282,250
04645,12,12
04646,41,41
04648,249,238
04649,464,409
04650,113,116
04652,618,590
04653,285,276
04654,1110,976
04655,381,346
04657,128,119
04658,450,410
04660,472,432
04662,228,221
04664,460,431
04666,480,446
04667,466,454
04668,657,553
04669,56,51
04671,185,176
04673,58,50
04674,88,87
04675,65,65
04676,530,481
04677,129,127
04679,557,548
04680,457,377
04681,413,398
04683,,
04684,790,721
04685,170,152
04686,52,48
04691,180,172
04693,207,200
04694,881,791
04730,3583,3269
04732,497,413
04733,151,146
04734,288,213
04735,166,153
04736,3558,3101
04737,,
04739,257,201
04740,448,400
04742,1198,975
04743,1701,1376
04745,331,286
04746,158,150
04747,477,412
04750,694,562
04756,1287,1116
04757,1002,905
04758,458,364
04760,266,222
04761,171,151
04762,159,145
04763,260,240
04764,13,9
04765,368,335
04766,128,95
04768,168,145
04769,3659,3239
04772,330,262
04773,249,236
04774,276,213
04776,268,208
04777,122,112
04779,158,153
04780,247,221
04781,203,159
04783,183,156
04785,633,557
04786,650,490
04787,161,132
04841,2985,2892
04843,2239,2197
04847,639,600
04848,316,293
04849,1582,1533
04851,30,30
04852,43,36
04853,192,192
04854,640,631
04855,159,159
04856,1304,1248
04858,530,523
04859,371,333
04860,747,752
04861,1194,1200
04862,1521,1453
04863,443,409
04864,1512,1390
04901,9630,8964
04910,760,673
04911,704,638
04912,240,191
04915,3823,3702
04917,1288,1215
04918,,
04920,697,656
04921,629,560
04922,350,292
04923,223,199
04924,827,656
04925,11,11
04926,10,10
04927,1136,1042
04928,814,722
04929,235,236
04930,1725,1597
04932,449,409
04936,99,89
04937,2541,2395
04938,3358,2993
04939,358,264
04940,,
04941,682,621
04942,408,377
04943,688,629
04944,32,32
04945,511,475
04947,745,646
04949,289,279
04950,1743,1670
04951,436,416
04952,756,683
04953,1258,1120
04955,541,506
04956,248,212
04957,1435,1361
04958,726,702
04961,298,274
04963,2882,2709
04964,70,60
04965,733,693
04966,554,523
04967,1352,1149
04969,423,381
04970,681,550
04971,722,642
04973,507,463
04974,1249,1105
04975,33,33
04976,3816,3488
04978,398,378
04979,304,278
04981,1163,1080
04982,181,168
04983,547,521
04984,249,199
04985,50,50
04986,571,529
04987,351,321
04988,611,554
04989,1841,1664
04992,112,112
05001,3817,3557
05009,,
05030,111,111
05031,10,10
05032,964,919
05033,1113,1037
05034,81,71
05035,314,263
05036,408,372
05037,356,313
05038,535,467
05039,398,355
05040,268,255
05041,67,67
05042,255,236
05043,518,520
05045,711,645
05046,476,413
05048,1140,1029
05050,55,55
05051,475,443
05052,75,65
05053,110,104
05055,1207,1098
05056,134,123
05058,72,54
05059,267,247
05060,1866,1774
05061,526,461
05062,179,169
05065,394,364
05067,71,71
05068,1254,1161
05069,238,229
05070,181,162
05071,71,71
05072,257,245
05073,,
05075,461,432
05076,154,138
05077,450,398
05079,333,305
05081,221,198
05083,64,40
05084,28,28
05086,198,174
05088,465,465
05089,1790,1572
05091,1518,1464
05101,1654,1393
05141,52,52
05142,257,238
05143,1690,1504
05146,195,193
05148,553,457
05149,896,819
05150,230,215
05151,563,526
05152,158,106
05153,241,240
05154,243,157
05155,311,273
05156,3531,3220
05158,403,298
05161,277,256
05201,5465,5124
05250,1217,1092
05251,597,511
05252,167,141
05253,251,226
05254,130,114
05255,1575,1247
05257,842,758
05260,161,124
05261,756,616
05262,708,543
05301,6778,5338
05340,239,180
05341,247,176
05342,212,118
05343,381,316
05344,,
05345,740,591
05346,1864,1431
05350,270,250
05351,126,84
05352,338,324
05353,524,342
05354,740,630
05355,298,231
05356,319,236
05358,110,94
05359,215,208
05360,119,82
05361,320,226
05362,112,92
05363,834,558
05401,12348,11061
05403,8015,7594
05404,3351,2932
05405,,
05408,4022,3777
05439,,
05440,693,647
05441,229,229
05442,167,160
05443,2566,2416
05444,554,512
05445,1704,1626
05446,6489,6063
05447,36,36
05448,316,278
05450,1608,1544
05452,9001,8655
05454,1979,1835
05455,408,373
05456,372,368
05457,535,496
05458,809,750
