Zip Code,Employed,Unemployed,Armed Forces
00601,4170,1396,
00602,11279,939,
00603,13072,2712,75
00606,1520,113,
00610,8609,855,
00611,437,115,
00612,17704,4002,49
00616,3287,838,
00617,6691,1261,
00622,2216,541,
00623,12087,2032,
00624,6152,1010,
00627,10072,764,130
00631,223,74,
00636,350,0,
00637,6122,1304,23
00638,3606,1213,
00641,5593,2479,
00646,12258,2349,104
00647,931,552,
00650,4014,1229,
00652,1007,165,
00653,1980,953,
00656,4639,1347,
00659,12331,934,18
00660,4932,1211,18
00662,10931,1105,
00664,3540,806,
00667,6150,1668,
00669,7783,1053,
00670,2276,170,
00674,10874,2658,
00676,10279,3357,33
00677,5238,463,
00678,7991,476,
00680,11107,3259,
00682,7964,3060,30
00683,6713,576,
00685,10964,1662,
00687,8749,1665,
00688,3113,724,
00690,1624,348,
00692,10318,2719,20
00693,16909,3638,19
00694,14,0,
00698,9106,1991,
00703,8836,694,
00704,2318,122,
00705,7509,615,
00707,2336,872,
00714,3567,451,
00715,335,0,
00716,7013,1046,
00717,3587,770,
00718,6206,1104,
00719,7759,1599,45
00720,4775,1475,
00723,4129,745,16
00725,27535,4302,98
00727,21030,1740,25
00728,11227,1173,18
00729,16707,4078,90
00730,8788,1697,
00731,2669,233,
00735,3703,405,
00736,14878,1142,60
00738,9454,3220,11
00739,11086,927,110
00740,602,235,
00741,1275,204,
00745,16848,4502,22
00751,5864,286,
00754,11142,1098,41
00757,7556,697,51
00765,1997,358,
00766,6392,1464,2
00767,8603,1506,
00769,10800,847,39
00771,10730,1435,
00772,4925,2242,
00773,5511,1798,
00775,621,16,
00777,12843,2532,
00778,16647,2873,135
00780,4042,628,97
00782,5602,971,14
00783,9571,2319,
00784,8894,731,
00786,46,0,
00791,13189,1389,20
00794,8048,1454,
00795,13202,3578,47
00901,2554,501,27
00906,139,0,
00907,7689,657,80
00909,2028,342,9
00911,3414,498,
00912,2726,456,
00913,1372,964,28
00915,7985,3111,
00917,5995,1671,10
00918,6586,935,
00920,7301,772,16
00921,11175,2571,
00923,8448,2789,27
00924,16058,3992,143
00925,2468,639,
00926,37906,4638,61
00927,5722,464,23
00934,17,31,10
00949,27210,3714,160
00950,,0,
00951,116,17,
00952,2326,689,
00953,25548,2916,107
00956,23273,2631,70
00957,14165,1572,
00959,18608,1989,156
00960,1,4,
00961,11506,1893,23
00962,5845,1193,77
00965,1384,273,11
00966,5950,779,
00968,1468,26,16
00969,17189,1556,142
00971,10762,1202,17
00976,24800,1782,71
00979,8122,937,50
00982,4990,1017,43
00983,12522,2124,17
00985,11614,2291,14
00987,21539,3173,
01001,8370,476,28
01002,14536,1094,
01003,4194,975,
01005,2788,121,
01007,8695,220,
01008,601,8,
01009,367,71,35
01010,1747,106,
01011,656,12,
01012,295,0,
01013,10841,818,
01020,14745,935,
01022,786,66,183
01026,501,9,
01027,9446,446,2
01028,7804,244,27
01029,283,9,
01030,6889,317,21
01031,760,4,
01032,243,0,
01033,3828,149,20
01034,1017,82,4
01035,2611,90,
01036,2567,210,
01037,248,0,
01038,1426,47,
01039,1063,24,
01040,15456,1204,
01050,1460,48,4
01053,612,70,
01054,897,70,
01056,10620,457,
01057,4181,351,21
01060,8426,392,
01062,4835,179,
01063,1059,115,
01066,17,0,
01068,827,43,
01069,4295,199,33
01070,326,16,
01071,666,11,7
01072,678,73,
01073,3387,100,
01074,256,44,
01075,9503,370,4
01077,5049,169,
01079,285,0,
01080,1161,108,
01081,1020,32,
01082,4982,457,7
01083,1329,125,
01084,50,3,
01085,20311,1000,87
01088,435,43,
01089,15042,990,52
01092,657,75,
01093,104,4,
01094,19,0,
01095,7827,60,
01096,1496,35,8
01097,29,0,
01098,608,28,
01103,933,73,44
01104,9497,1171,
01105,3567,648,
01106,7154,424,
01107,3949,797,
01108,11436,1106,6
01109,11150,1456,
01118,7237,582,20
01119,5483,192,
01128,1599,92,
01129,3002,175,10
01144,,0,
01151,4169,288,
01201,22422,1711,
01220,3929,260,
01222,378,28,
01223,1399,72,
01224,104,0,
01225,1456,89,17
01226,3032,94,
01229,57,0,
01230,4741,146,
01235,1366,57,
01236,989,42,
01237,1215,31,
01238,2885,91,13
01240,2074,212,
01242,113,56,
01243,104,0,
01244,64,0,
01245,328,25,
01247,7475,376,
01253,473,57,
01254,525,9,
01255,421,7,
01256,328,15,7
01257,1057,31,
01258,92,3,
01259,344,19,
01260,154,0,
01262,632,36,
01264,148,5,
01266,500,23,
01267,3986,75,
01270,552,15,
01301,8281,499,
01330,821,85,
01331,6590,631,34
01337,1266,64,
01338,44,0,
01339,611,38,
01340,955,30,4
01341,920,41,
01342,515,26,
01343,82,0,
01344,819,79,
01346,274,7,
01347,173,0,
01349,426,12,
01350,55,5,
01351,1551,63,
01354,987,68,
01355,599,15,
01360,1575,57,
01364,3404,341,
01366,579,25,
01367,199,4,
01368,749,34,
01370,1779,117,
01373,2917,86,
01375,2474,67,
01376,2497,162,
01378,381,28,
01379,371,51,
01380,29,0,
01420,20464,1812,59
01430,3070,126,
01431,1855,91,
01432,4638,257,33
01434,738,7,
01436,1530,205,
01438,135,0,
01440,9762,712,20
01450,5738,320,
01451,2448,144,
01452,2420,122,
01453,22724,1325,52
01460,5090,317,
01462,6017,501,9
01463,6231,249,30
01464,3078,228,
