Zip Code,Vacant Housing Units,Occupied Housing Units,Owner Occupied,Renter Occupied,Owner Occupied Household Size,Renter Occupied Household Size,Vehicles Available,No Vehicles Available,With Mortgage,Without Mortgage
00601,1909,5397,3553,1844,3.09,3.29,5397,775,540,3013
00602,4453,12858,9782,3076,3.05,2.6,12858,1600,1876,7906
00603,5476,19295,11254,8041,2.56,2.4,19295,3397,3487,7767
00606,818,1968,1440,528,2.93,2.86,1968,265,193,1247
00610,3560,8934,6452,2482,3.05,2.57,8934,973,1902,4550
00611,180,514,310,204,2.33,2.75,514,50,107,203
00612,6961,23319,14466,8853,2.82,2.56,23319,3410,5687,8779
00616,1226,3342,2366,976,3.17,2.73,3342,340,709,1657
00617,2058,7820,5707,2113,2.83,3.13,7820,715,2069,3638
00622,5606,2789,2052,737,2.97,2.16,2789,221,414,1638
00623,6574,13933,10137,3796,2.89,2.72,13933,1804,4171,5966
00624,1904,7194,5033,2161,3.08,2.95,7194,899,1520,3513
00627,2704,11367,8659,2708,2.89,2.86,11367,1221,2357,6302
00631,189,396,248,148,2.89,2.58,396,129,28,220
00636,29,296,202,94,3.62,4.7,296,0,104,98
00637,3984,7005,5550,1455,3.22,3.42,7005,793,1549,4001
00638,1898,6032,4487,1545,3.03,2.65,6032,814,1106,3381
00641,2709,8724,5299,3425,2.98,2.63,8724,1610,1501,3798
00646,3970,11863,9393,2470,3.11,2.77,11863,1253,3498,5895
00647,1615,1927,1431,496,2.51,3.21,1927,174,111,1320
00650,880,5157,3611,1546,2.7,2.93,5157,680,1450,2161
00652,314,1250,952,298,2.52,2.38,1250,74,364,588
00653,2303,3591,2447,1144,2.47,2.6,3591,437,331,2116
00656,1896,6513,4712,1801,2.85,2.86,6513,978,886,3826
00659,3308,13214,9540,3674,2.91,2.63,13214,1207,3114,6426
00660,1344,6220,4440,1780,2.56,2.32,6220,992,1765,2675
00662,4976,13974,8353,5621,2.91,2.82,13974,1771,2736,5617
00664,1197,5120,3104,2016,3.03,2.83,5120,815,763,2341
00667,4273,7849,5367,2482,2.94,3.15,7849,1233,1391,3976
00669,2428,9745,6441,3304,2.82,2.83,9745,1277,1374,5067
00670,1340,2639,2016,623,3.37,2.95,2639,380,390,1626
00674,4051,14437,10708,3729,2.67,2.88,14437,2681,4051,6657
00676,2843,13032,8126,4906,2.91,2.66,13032,1345,2103,6023
00677,3654,5763,3854,1909,2.85,2.2,5763,712,798,3056
00678,2378,8985,6081,2904,3.04,2.49,8985,1300,1683,4398
00680,7497,17636,9967,7669,2.51,2.25,17636,3856,2324,7643
00682,4132,11916,6124,5792,2.57,2.72,11916,2443,1693,4431
00683,4086,10721,7343,3378,2.69,2.76,10721,1882,1632,5711
00685,4516,14152,9817,4335,2.83,2.81,14152,1618,2705,7112
00687,2281,9654,6780,2874,3.07,2.84,9654,1281,2396,4384
00688,1097,4066,2547,1519,2.93,2.4,4066,523,712,1835
00690,418,2187,1563,624,2.87,2.76,2187,198,758,805
00692,3637,11537,7873,3664,2.9,2.84,11537,1673,3144,4729
00693,5017,20194,15510,4684,2.78,2.7,20194,2606,5173,10337
00694,41,28,28,0,3.07,,28,0,,28
00698,5814,11647,8745,2902,2.91,2.88,11647,1408,2033,6712
00703,2025,9057,5853,3204,2.91,2.44,9057,1251,1551,4302
00704,1050,2543,1975,568,2.82,2.75,2543,380,814,1161
00705,1064,8683,6814,1869,2.8,2.84,8683,1135,2062,4752
00707,1153,3845,2798,1047,2.65,3.04,3845,651,716,2082
00714,2079,6147,4685,1462,2.51,3.0,6147,793,1382,3303
00715,212,801,670,131,2.54,2.24,801,110,47,623
00716,2266,11125,7395,3730,2.46,2.47,11125,1988,2538,4857
00717,2549,6398,3117,3281,2.26,2.2,6398,1742,1142,1975
00718,3087,8105,5862,2243,2.84,2.99,8105,881,1936,3926
00719,2163,8456,5508,2948,3.7,3.09,8456,1473,1823,3685
00720,1875,6495,4476,2019,3.22,3.03,6495,1113,802,3674
00723,2486,5882,4213,1669,2.88,2.48,5882,1036,1340,2873
00725,6028,29994,19457,10537,2.63,2.57,29994,4655,8805,10652
00727,3547,19267,13624,5643,2.78,2.59,19267,1962,7134,6490
00728,2605,13021,10394,2627,2.87,2.85,13021,1488,3257,7137
00729,3260,16529,12249,4280,2.92,2.89,16529,1622,5221,7028
00730,3754,12806,8279,4527,2.57,2.53,12806,2852,2240,6039
00731,1555,3933,3011,922,2.87,2.67,3933,754,238,2773
00735,3164,4129,3020,1109,2.8,2.83,4129,603,1290,1730
00736,3947,17400,10856,6544,2.69,2.56,17400,2976,4454,6402
00738,5902,11564,8039,3525,2.6,2.68,11564,1737,3550,4489
00739,2377,11792,7559,4233,3.0,2.9,11792,1552,2658,4901
00740,306,643,330,313,2.69,3.61,643,79,69,261
00741,614,1394,1146,248,2.73,3.01,1394,135,442,704
00745,7142,15803,11608,4195,3.02,3.0,15803,1978,5386,6222
00751,2310,7538,5794,1744,2.6,2.68,7538,1116,1343,4451
00754,2364,13248,9749,3499,2.9,2.47,13248,2256,2652,7097
00757,1842,7203,5660,1543,2.86,2.7,7203,877,2310,3350
00765,2593,2374,1670,704,3.33,3.91,2374,361,227,1443
00766,1650,7873,5798,2075,2.88,2.7,7873,962,1190,4608
00767,2609,12011,8356,3655,2.63,2.56,12011,1822,2006,6350
00769,3088,12975,9877,3098,2.75,2.55,12975,1799,3161,6716
00771,2948,11857,9203,2654,2.89,3.1,11857,1130,3675,5528
00772,2387,6580,4093,2487,2.66,2.91,6580,1647,824,3269
00773,3608,6803,4743,2060,2.58,2.73,6803,857,1959,2784
00775,975,489,312,177,2.79,2.38,489,84,40,272
00777,2850,13352,9654,3698,2.95,2.6,13352,1273,4741,4913
00778,2561,14448,10954,3494,2.8,2.87,14448,1472,5606,5348
00780,697,4443,3923,520,2.87,3.2,4443,496,2026,1897
00782,1878,5130,2464,2666,4.2,3.11,5130,988,761,1703
00783,2362,10531,7692,2839,3.23,3.27,10531,1579,2432,5260
00784,3752,13947,9654,4293,2.46,2.47,13947,2176,3101,6553
00786,24,81,81,0,1.86,,81,63,,81
00791,8105,16356,11814,4542,2.88,2.86,16356,2216,3897,7917
00794,1994,8731,5677,3054,3.31,3.08,8731,894,2026,3651
00795,3082,14486,10817,3669,3.09,2.72,14486,2028,3527,7290
00901,1099,3133,1351,1782,2.23,1.98,3133,1227,719,632
00906,60,91,91,0,1.88,,91,0,69,22
00907,4622,8334,5150,3184,2.15,1.72,8334,1468,2373,2777
00909,1105,2239,969,1270,2.07,2.3,2239,606,411,558
00911,1758,3656,1811,1845,2.12,1.82,3656,912,1020,791
00912,964,2691,1526,1165,2.22,2.08,2691,416,825,701
00913,765,3040,532,2508,2.12,2.53,3040,1696,243,289
00915,4637,10602,4458,6144,2.36,2.45,10602,3978,1271,3187
00917,3370,8100,3996,4104,2.36,2.14,8100,2791,1548,2448
00918,2484,7633,3601,4032,2.11,1.93,7633,1886,2070,1531
00920,1924,6911,3796,3115,2.57,2.4,6911,1180,2060,1736
00921,3585,13552,6643,6909,2.39,2.27,13552,2930,3802,2841
00923,3489,10278,4594,5684,2.57,2.4,10278,3266,1936,2658
00924,4810,19048,10031,9017,2.52,2.41,19048,4198,4952,5079
00925,2095,2964,727,2237,2.18,1.67,2964,1326,379,348
00926,8384,35788,26242,9546,2.7,2.38,35788,4595,13026,13216
00927,1382,5936,3241,2695,2.45,2.08,5936,722,1441,1800
00934,18,27,,27,,4.59,27,0,,
00949,5945,25663,19452,6211,2.75,2.57,25663,1798,8861,10591
00950,,,,0,,,,0,,
00951,46,149,64,85,2.55,1.94,149,46,36,28
00952,1013,2842,1861,981,2.86,2.42,2842,552,448,1413
00953,4185,21990,17748,4242,3.09,2.91,21990,1535,9562,8186
00956,6777,23846,16725,7121,2.69,2.63,23846,2776,7537,9188
00957,3149,14799,10691,4108,2.7,2.93,14799,2050,4940,5751
00959,4352,17329,11228,6101,2.78,2.62,17329,2294,6016,5212
00960,,,,0,,,,0,,
00961,1835,11292,7563,3729,2.81,2.52,11292,1458,3744,3819
00962,1882,7567,4235,3332,2.64,2.66,7567,2138,1392,2843
00965,786,1888,1139,749,2.64,3.06,1888,441,225,914
00966,1738,5976,4361,1615,2.67,2.45,5976,727,2365,1996
00968,343,1775,1304,471,2.26,1.56,1775,327,608,696
00969,2913,14577,11021,3556,2.9,2.82,14577,1228,6304,4717
00971,2950,9104,6132,2972,3.04,2.72,9104,1064,1850,4282
00976,4535,22179,15742,6437,2.88,2.44,22179,2176,7909,7833
00979,3434,8548,5584,2964,2.15,1.8,8548,858,2791,2793
00982,1655,5804,3767,2037,2.41,2.48,5804,729,1897,1870
00983,3402,12664,8462,4202,2.68,2.38,12664,1479,4916,3546
00985,2284,12105,8506,3599,2.62,2.71,12105,1939,4078,4428
00987,3759,20202,15017,5185,2.74,2.62,20202,1905,8264,6753
01001,278,6791,4936,1855,2.48,1.84,6791,695,3023,1913
01002,1316,9985,4763,5222,2.48,2.3,9985,1314,2615,2148
01003,69,15,,15,,2.13,15,0,,
01005,222,1761,1711,50,2.66,3.54,1761,18,1280,431
01007,320,5917,4964,953,2.74,1.77,5917,254,3450,1514
01008,111,506,474,32,2.33,2.03,506,3,344,130
01009,66,333,295,38,2.39,2.47,333,49,250,45
01010,195,1503,1336,167,2.54,1.87,1503,25,902,434
01011,153,498,393,105,2.5,3.18,498,18,268,125
01012,52,227,180,47,2.23,2.17,227,16,108,72
01013,973,9375,4753,4622,2.51,2.2,9375,1375,3100,1653
01020,564,13400,8221,5179,2.39,2.12,13400,1239,4858,3363
01022,16,1082,762,320,1.45,2.29,1082,33,503,259
01026,105,454,369,85,2.51,1.72,454,20,192,177
01027,526,8451,5456,2995,2.33,1.64,8451,523,3499,1957
01028,277,6017,5094,923,2.85,1.6,6017,470,3330,1764
01029,767,228,199,29,2.21,2.45,228,0,114,85
01030,179,4994,3987,1007,2.74,1.68,4994,263,2906,1081
01031,51,608,361,247,2.76,2.34,608,46,256,105
01032,119,198,180,18,2.24,1.5,198,7,111,69
01033,88,2530,2206,324,2.57,1.33,2530,99,1624,582
01034,369,830,779,51,2.41,2.22,830,4,530,249
01035,52,2254,1724,530,2.39,1.98,2254,100,983,741
01036,102,2016,1906,110,2.45,2.1,2016,55,1101,805
01037,17,257,225,32,2.16,4.16,257,0,45,180
01038,39,1111,821,290,2.51,1.83,1111,67,460,361
01039,12,709,580,129,2.49,1.76,709,15,356,224
01040,1669,15062,5962,9100,2.57,2.42,15062,3111,3878,2084
01050,163,1072,878,194,2.48,2.13,1072,28,549,329
01053,36,712,561,151,2.46,1.19,712,57,388,173
01054,68,708,623,85,2.46,2.86,708,7,332,291
01056,433,8567,6339,2228,2.46,2.06,8567,448,3911,2428
01057,241,3485,2884,601,2.46,1.88,3485,156,1863,1021
01060,433,7060,3311,3749,2.33,1.79,7060,912,2004,1307
01062,312,4162,3121,1041,2.47,1.69,4162,273,1987,1134
01063,18,5,,5,,,5,0,,
01066,30,34,34,0,1.5,,34,0,8,26
01068,42,625,575,50,2.53,3.14,625,12,365,210
01069,184,3732,2755,977,2.45,2.06,3732,259,1714,1041
01070,84,258,225,33,2.48,1.79,258,0,136,89
01071,80,518,465,53,2.5,2.15,518,0,279,186
01072,122,609,541,68,2.24,2.4,609,24,372,169
01073,38,2318,2085,233,2.79,1.47,2318,17,1271,814
01074,93,157,41,116,2.24,4.24,157,41,23,18
01075,313,7328,5680,1648,2.23,1.77,7328,323,3528,2152
01077,290,3648,3052,596,2.58,2.32,3648,126,1854,1198
01079,,237,161,76,2.55,1.45,237,39,99,62
01080,43,895,571,324,2.51,2.6,895,73,353,218
