Zip Code,Total Population
00601,16773
00602,37083
00603,45652
00606,6231
00610,26502
00612,58771
00616,9688
00617,23771
00622,6505
00623,41472
00624,21031
00627,31066
00631,1481
00637,21957
00638,16018
00641,26383
00646,36538
00647,5708
00650,13869
00652,3624
00653,10117
00656,17984
00659,39561
00660,15731
00662,39017
00664,14405
00667,22721
00669,24022
00670,8051
00674,38218
00676,35621
00677,13949
00678,24997
00680,44904
00682,30212
00683,28710
00685,36546
00687,30652
00688,11355
00690,5900
00692,34857
00693,52220
00694,32
00698,34449
00703,25619
00704,7641
00705,22289
00707,10514
00714,17413
00715,2846
00716,26433
00717,15115
00718,25543
00719,28048
00720,20387
00723,16645
00725,79395
00727,51772
00728,39204
00729,50721
00730,29075
00731,12108
00735,11593
00736,45773
00738,28329
00739,35801
00740,1934
00741,3911
00745,49472
00751,20662
00754,36309
00757,21474
00765,8402
00766,22187
00767,32867
00769,38500
00771,36388
00772,18919
00773,17924
00775,1326
00777,39580
00778,46720
00780,10887
00782,17310
00783,32372
00784,38894
00786,292
00791,47675
00794,28088
00795,43475
00901,7438
00906,178
00907,15641
00909,4855
00911,7157
00912,5868
00913,7225
00915,24079
00917,17836
00918,14902
00920,16157
00921,30663
00923,23811
00924,46690
00925,6365
00926,89327
00927,13490
00934,114
00936,802
00949,71371
00950,0
00951,0
00952,7324
00953,70997
00956,60554
00957,37977
00959,46116
00960,1793
00961,28638
00962,18274
00965,6901
00966,15139
00968,3603
00969,40402
00971,25443
00976,57297
00979,17022
00982,13402
00983,32735
00985,31388
00987,52270
01001,16064
01002,30099
01003,11588
01005,5166
01007,15080
01008,1116
01009,649
01010,3663
01011,1486
01012,595
01013,22739
01020,30249
01022,2203
01026,1030
01027,17641
01028,16215
01029,572
01030,12563
01031,1436
01032,482
01033,6310
01034,2115
01035,5328
01036,5174
01037,642
01038,2653
01039,1368
01040,40161
01050,2454
01053,1850
01054,1875
01056,21223
01057,8778
01060,16386
01062,9693
01063,623
01066,30
01068,1636
01069,8716
01070,679
01071,1392
01072,1541
01073,6169
01074,396
01075,17715
01077,9722
01079,515
01080,2419
01081,1937
01082,10341
01083,3125
01084,165
01085,41758
01086,351
01088,588
01089,28527
01092,1200
01093,295
01094,428
01095,14740
01096,2288
01097,93
01098,1182
01103,1989
01104,23150
01105,12651
01106,15982
01107,11693
01108,26397
01109,30684
01118,14839
01119,13253
01128,2989
01129,6296
01151,9485
01199,0
01201,43941
01220,8129
01222,720
01223,2499
01224,163
01225,3093
01226,6698
01229,59
01230,8354
01235,2369
01236,1577
01237,2522
01238,5980
01240,4666
01242,337
01243,258
01244,120
01245,774
01247,15340
01253,789
01254,961
01255,891
01256,701
01257,1858
01258,604
01259,617
01260,191
01262,1136
01264,214
01266,1281
01267,7796
01270,897
01301,17611
01330,1594
01331,13609
01337,2442
01338,150
01339,1410
01340,1780
01341,1796
01342,1165
01343,78
01344,1343
01346,544
01347,139
01349,1267
01350,100
01351,2577
01354,1732
01355,981
01360,2973
01364,7721
01366,1155
01367,519
01368,1451
01370,3727
01373,4866
01375,3643
01376,4630
01378,738
01379,835
01420,40576
01430,6320
01431,3211
01432,7760
01434,2007
01436,3538
01438,512
01440,20605
01450,11322
01451,4576
01452,4758
01453,41654
01460,10152
01462,11530
01463,12113
01464,7616
01467,407
01468,4065
01469,7812
01473,7874
01474,1685
01475,10831
01501,16627
01503,3312
01504,9249
01505,4666
01506,3439
01507,13610
01510,13940
01515,2157
01516,9168
01518,3606
01519,7566
01520,16059
01521,2492
01522,3069
01523,7809
01524,6778
01525,309
01527,13822
01529,3249
01531,1155
01532,15047
01534,5885
01535,4774
01536,7030
01537,2244
01540,11679
01541,3466
01542,2544
01543,8799
01545,37683
01550,16865
01560,4467
01561,102
01562,11942
01564,8130
01566,5953
01568,7968
01569,13901
01570,16934
01571,11699
01581,19035
01583,7752
01585,4601
01588,10439
01590,9458
01602,24363
01603,18612
01604,37633
01605,27587
01606,20060
01607,8410
01608,4910
01609,21780
01610,22152
01611,2036
01612,4961
01701,33742
01702,39163
01718,709
01719,5677
01720,22914
01721,17787
01730,14072
01731,2119
01740,5356
01741,5232
01742,18927
01745,600
01746,14792
01747,5956
01748,18030
01749,19863
01752,39663
01754,10900
01756,6146
01757,28936
01760,35770
01770,4324
01772,9551
01773,4847
