Zip Code,Education % Under Grade 9,Education % Grades 9-12,Education % High School Graduate,Education % Some College,Education % Associates Degree,Education % Bachelors Degree or Higher,Education % Graduage or Professional Degree
00601,24.5,10.3,29.1,9.3,12.3,14.6,1.8
00602,23.8,10.0,25.7,7.7,11.0,21.8,5.3
00603,15.6,9.6,29.6,12.5,8.4,24.3,7.5
00606,30.6,10.1,32.3,11.6,5.0,10.4,2.9
00610,20.3,9.3,30.7,8.3,12.6,18.8,4.5
00611,26.0,9.4,22.9,10.0,9.6,22.1,5.8
00612,13.4,6.9,29.7,12.9,10.2,27.0,6.8
00616,16.4,8.9,32.9,13.1,8.0,20.7,2.6
00617,16.7,9.0,30.7,8.6,10.2,24.9,5.0
00622,21.8,10.4,21.8,12.4,12.8,20.9,5.7
00623,16.3,8.5,26.1,12.0,9.8,27.3,6.2
00624,16.5,9.4,29.2,7.1,14.0,23.8,3.1
00627,18.1,9.4,25.0,8.2,18.0,21.4,6.4
00631,38.8,3.1,15.1,4.9,13.2,24.9,9.1
00636,13.5,13.8,24.5,,15.6,32.7,17.0
00637,16.8,8.0,33.9,9.2,10.3,21.8,4.8
00638,21.7,12.8,29.0,12.6,8.8,15.1,3.1
00641,18.7,7.4,26.4,17.8,9.2,20.4,3.7
00646,10.8,6.9,27.8,13.8,9.5,31.2,10.4
00647,14.8,9.9,42.2,4.4,11.9,16.7,1.4
00650,14.6,6.6,34.1,14.6,10.3,19.8,3.6
00652,11.8,11.6,19.0,16.6,11.8,29.2,4.6
00653,18.7,13.8,34.7,8.2,10.4,14.2,4.2
00656,14.1,9.5,28.8,8.2,14.8,24.6,5.9
00659,16.6,6.8,24.8,5.4,18.1,28.3,7.8
00660,14.6,6.0,34.2,11.1,8.6,25.6,5.9
00662,17.6,7.4,29.8,9.5,10.9,24.8,6.6
00664,15.4,5.8,36.5,15.6,6.1,20.5,5.3
00667,20.7,11.6,28.2,10.3,12.3,17.0,3.3
00669,22.9,9.8,23.8,10.0,12.7,20.8,5.2
00670,26.7,10.0,34.0,3.1,7.7,18.4,2.8
00674,15.3,9.2,30.2,12.1,9.7,23.4,5.4
00676,19.6,9.4,30.7,10.1,7.3,22.8,5.7
00677,19.0,7.8,26.1,9.3,14.9,23.0,5.5
00678,17.1,9.3,29.4,8.3,14.4,21.6,5.5
00680,20.0,9.3,27.7,11.3,7.0,24.7,7.2
00682,16.0,9.6,24.8,10.5,6.1,33.2,12.1
00683,19.0,10.2,34.2,7.5,7.4,21.6,5.7
00685,21.8,9.3,26.2,10.4,11.6,20.6,4.6
00687,16.8,9.3,30.6,12.8,13.0,17.5,3.4
00688,20.3,8.6,30.7,14.2,6.7,19.4,3.1
00690,10.1,11.3,30.1,15.7,5.3,27.5,4.6
00692,16.0,8.1,29.1,10.8,13.3,22.6,7.4
00693,15.0,8.9,29.9,12.1,11.4,22.7,5.9
00694,25.6,0.0,41.9,,32.6,,0.0
00698,14.9,6.9,35.4,8.7,8.3,25.8,6.2
00703,16.3,9.4,33.4,11.5,11.1,18.3,3.0
00704,12.8,8.3,39.6,10.9,8.1,20.2,3.3
00705,13.2,7.3,36.7,12.3,7.7,22.8,7.7
00707,17.4,9.0,30.5,13.5,14.1,15.5,3.0
00714,12.6,10.8,31.1,12.9,12.0,20.6,3.8
00715,22.6,16.0,43.0,5.6,2.3,10.5,3.3
00716,13.8,7.2,28.6,8.7,7.3,34.3,10.9
00717,11.9,7.5,31.4,8.9,9.2,31.1,10.4
00718,16.9,6.4,37.8,6.1,10.5,22.3,4.7
00719,18.5,10.7,23.9,17.3,11.4,18.1,2.8
00720,18.6,10.6,30.8,11.5,10.3,18.2,4.9
00723,15.2,7.2,29.8,16.1,12.2,19.5,6.5
00725,10.6,7.3,29.5,12.8,10.0,29.8,8.5
00727,9.8,5.1,23.3,14.0,10.2,37.6,11.6
00728,11.5,8.2,33.2,11.2,8.7,27.3,7.0
00729,13.4,7.7,28.8,10.8,13.0,26.3,8.0
00730,14.0,8.1,29.1,9.5,10.4,28.8,9.6
00731,23.1,8.2,33.1,7.0,8.3,20.3,4.2
00735,16.8,7.6,36.0,10.0,8.9,20.8,3.8
00736,16.0,6.2,31.8,11.3,8.9,25.8,7.1
00738,11.0,5.7,33.5,11.6,8.9,29.3,6.4
00739,17.1,5.3,33.1,10.1,9.0,25.3,7.6
00740,9.5,12.5,36.0,14.8,5.4,21.7,0.0
00741,9.8,15.4,30.5,13.8,11.9,18.6,1.5
00745,12.6,9.6,28.8,11.9,11.9,25.2,5.0
00751,15.4,9.1,40.4,8.4,7.9,18.9,4.5
00754,18.0,9.4,25.4,16.5,12.4,18.3,5.4
